001:001-004	hak untuk allah, segala pujian hanya untuk allah yang memiliki kekuasaan yang sifat kemahaagungan
033:009-012	bantuan allah kepada kaum muslimin dalam peperangan ahzab, berupa bala tentara dari golongan malaikat yang tidak dapat dilihat kaum muslimin.
033:013-020	orang-orang munafik meminta izin kepada nabi untuk kembali pulang tidak ikut perang atau lari dari peperangan
033:021-025	diri rasulullah ada teladan yang baik bagi orang-orang mukmin; serta sikap orang mukmin yang teguh janjinya dalam menghadapi perang.
033:026-027	kisah peperangan dengan ahli kitab bani quraizhah.
033:028-034	ketentuan-ketentuan allah terhadap istri-istri rasulullah saw jika berbuat keji atau berbuat kebajikan maka balasannya dua kali lipat, dan janji allah kepada mereka.
033:035-036	sifat-sifat orang mukmin dan mereka selalu taat terhadap perintah rasulullah.
033:037-040	kisah zaid anak angkat rasulullah; hukum anak angkat tidak sama dengan hukum anak kandung.
033:041-044	perintah untuk orang beriman untuk banyak-banyak berzikir dan bertasbih memuji allah.
033:045-048	muhammad adalah rasul yang diutus oleh allah sebagai saksi, pembawa berita gembira, penerangan, pemberi peringatan untuk segenap manusia.
033:049-049	wanita yang diceraikan sebelum dicampuri tidak ada iddah dan harus diberi mutah.
033:050-051	wanita-wanita yang halal dinikahi oleh rasulullah saw.
033:052-052	larangan bagi nabi untuk menikah lagi setelah diturunkannya ayat ini.
033:053-055	adab dan sopan santun dalam rumah tangga rasulullah saw.
033:056-058	perintah untuk berselawat atas nabi muhammad saw dan ancaman bagi orang-orang yang menyakiti allah, rasulnya, serta orang-orang mukmin.
033:059-059	perintah diwajibkannya wanita-wanita mukminah mengenakan jilbab
033:060-062	ancaman bagi orang-orang munafik dan orang-orang yang membuat kerusuhan di madinah.
033:063-068	hanya allah yang mengetahui datangnya hari kiamat / kebangkitan dan ancaman terhadap orang-orang kafir.
033:069-071	takwa kepada allah akan membawa perbaikan amal dan ampunan dosa dari allah.
033:072-073	kezaliman dan kebodohan manusia adalah mau menerima amanah / tugas tetapi tidak melaksanakannya.
034:001-002	segala puja-puji hanya milik allah yang memiliki kekuasaan dan pengetahuan yang sempurna.
034:003-009	sikap orang yang beriman, ahli kitab, dan orang kafir terhadap hari akhir dan kitab.
034:010-014	kepandaian yang diberikan allah kepada nabi dawud as dan kekuasaan yang diberikan allah kepada nabi sulaiman as.
034:015-021	keingkaran kaum saba terhadap nikmat allah berakibat datangnya malapetaka.
034:022-027	sembahan-sembahan selain allah tidaklah mempunyai kekuasaan sedikit pun.
034:028-028	risalah nabi muhammad bersifat universal, seluruh umat manusia di dunia.
034:029-033	keingkaran-keingkaran orang kafir dan keadaan mereka di akhirat kelak.
034:034-045	kebanyakan kaum yang mendustakan rasul yang diutus oleh allah adalah para mutrafin, orang yang hidup mewah dengan harta dan anak.
034:046-054	pernyataan allah tentang muhammad dan tugasnya membawa kebenaran yang akan mengalahkan segala kebatilan.
035:001-004	allah adalah pencipta, penguasa, dan pemberi rahmat terhadap semua ciptaannya; tetapi kebanyakan manusia berpaling dan mendustakan.
035:005-007	jangan sampai kita diperdaya oleh kehidupan dunia dan orang yang pandai, melalui bujukan setan yang menyebabkan masuk neraka.
035:008-008	orang yang tertipu dengan amalan-amalan buruk yang dianggapnya baik tidaklah sama dengan orang yang tidak tertipu karena petunjuk allah.
035:009-014	kekuasaan allah tercermin dalam penciptaan alam semesta, tetapi banyak pula orang yang menyekutukannya.
035:015-017	allah itu maha kaya, maha terpuji, maha berkehendak, dan maha kuasa atas segala ciptaannya.
035:018-023	orang yang berdosa tidak akan memikul dosa orang lain; orang yang mau menerima peringatan berbeda dengan orang yang berpaling darinya.
035:024-026	nabi muhammad saw diutus dengan membawa kebenaran dan telah didustakan rasul-rasul sebelumnya walaupun telah ada bukti yang nyata.
035:027-028	hanya orang-orang yang berilmu / berpengetahuanlah yang takut kepada allah.
035:029-031	hanya orang-orang yang memahami kitab suci dan yang mau mengamalkan isinya, mereka itulah yang tidak akan pernah rugi.
035:032-037	macam-macam tingkatan umat islam dalam memahami dan mengamalkan al-quran, ada pula orang yang kafir terhadapnya.
035:038-043	kebenaran allah dengan berbagai bukti dan tidak berdayanya sembahan-sembahan selain allah yang diibadahi manusia.
035:044-045	anjuran allah kepada manusia agar mengadakan pejalan di muka bumi untuk membuktikan kekuasaan allah, sehingga tidak akan termasuk orang yang mendapat siksa.
036:001-006	allah menyatakan bahwa muhammad saw itu benar-benar seorang rasul yang membawa al-quran sebagai wahyu untuk memperingatkan manusia.
036:007-010	kepastian datangnya azab kepada kebanyakan orang kafir karena tidak mengindahkan peringatan allah yang disampaikan rasul.
036:011-012	peringatan yang disampaikan rasul hanya berguna bagi orang-orang yang takut kepada allah.
036:013-029	kisah penduduk suatu kota dengan diutusnya tiga orang rasul kepada mereka yang harus dijadikan pelajaran bagi penduduk mekah.
036:030-032	penyesalan orang-orang yang tidak beriman mereka selalu mengolok-olok setiap rasul yang diutus oleh allah.
036:033-050	berbagai tanda kebesaran dan keagungan allah yang terhampar di alam semesta diharapkan menjadi pelajaran bagi orang yang menghendaki kebahagiaan negeri akhirat.
036:051-053	suasana ditiupnya sangkakala untuk membangkitkan manusia dari kuburnya dan penyesalan orang yang tidak beriman.
036:054-058	keadaan orang-orang beriman pada hari kiamat dan balasan bagi mereka di surga memperoleh apa saja yang mereka minta.
036:059-068	cercaan dan balasan bagi orang-orang yang tidak beriman; tangan dan kaki manusia akan menjadi saksi atas perbuatannya sendiri.
036:069-070	nabi muhammad saw bukanlah penyair, tidak pula mengajarkan syair, dan bersyair tidak pantas bagi beliau, yang dibawanya adalah al-quran.
036:071-077	kemahakuasaan allah dapat disaksikan pada berbagai penciptaan binatang dengan segala manfaatnya bagi manusia.
036:078-083	allah membangkitkan manusia setelah matinya bukan masalah sulit; allah telah membuat api dari kayu yang masih hijau. jika allah menghendaki sesuatu maka akan terjadi dengan mudah.
037:001-010	langit telah dihiasi dengan bintang-bintang dan dipelihara dari gangguan setan yang ingin mendengarkan pembicaraan para malaikat.
037:011-015	allah mematahkan dalil-dalil para musyrikin yang mendustakan diutusnya rasul dengan berbagai ocehan untuk menghina.
037:016-019	hari kebangkitan yang didustakan oleh orang-orang musyrik akan datang dengan satu teriakan saja.
037:020-039	penyesalan orang-orang yang mendustakan hari kebangkitan, mereka saling berbantahan karena telah disesatkan, serta azab yang pedih bagi mereka.
037:040-049	keadaan orang-orang beriman yang dibersihkan dari dosa akan memperoleh balasan surga penuh dengan kenikmatan.
037:050-062	pembicaraan antara para penghuni surga dan pernyataan mereka setelah meninjau temannya yang ada di dalam neraka.
037:063-070	pohon zaqqum yang tumbuh dari dasar neraka yang menyala dijadikan oleh allah sebagai siksaan bagi orang yang zalim.
037:071-074	umat-umat terdahulu yang membangkang terhadap kebenaran diutusnya rasul diberi azab oleh allah.
037:075-082	allah mengabulkan doa nabi nuh as dan menjadikan anak cucunya orang-orang yang melanjutkan keturunan.
037:083-099	nabi ibrahim mengatur strategi untuk menghancurkan patung-patung yang disembah kaumnya; ibrahim dibakar tetapi ditolong allah.
037:100-111	kisah ismail; ibrahim berdoa untuk diberi anak yang saleh, kemudian setelah diberi anak diperintahkan untuk menyembelihnya.
037:112-113	kisah nabi ishaq as; nabi ibrahim dikaruniai anak dari istrinya, sarah yang sudah lanjut usia.
037:114-148	nikmat yang diberikan oleh allah kepada para nabi, musa, harun, ilyas, lut, dan yunus as.
037:149-160	orang-orang kafir dan musyrik yang mengatakan bahwa allah mempunyai anak merupakan kedustaan mereka yang tanpa alasan.
037:161-170	kaum musyrikin beserta sembahan-sembahannya tidak berdaya menyesatkan kaum yang mengikuti kitab suci al-quran.
037:171-182	janji allah terhadap para rasul dan pengikutnya pasti akan mendapatkan pertolongan dan kemenangan.
038:001-016	orang-orang kafir yang mendustakan para nabi pasti dihancurkan oleh allah dan mereka pasti akan dibangkitkan untuk diadili.
038:017-029	nabi dawud as mendapat cobaan dari allah untuk menyelesaikan perkara seorang yang menzalimi seorang yang lain tentang ternaknya.
038:030-040	nabi sulaiman mendapatkan cobaan dari allah dan dianugerahi kerajaan yang besar serta berbagai mukjizat.
038:041-044	nabi ayyub as mendapat cobaan dari allah yang sangat parah dan kehilangan keluarganya, tetapi beliau tetap sabar.
038:045-048	allah memilih beberapa nabi yang memiliki ilmu yang tinggi, akhlak yang mulia, serta mengingatkan manusia tentang negeri akhirat.
038:049-054	pahala yang besar berupa surga bagi orang-orang bertakwa, yang mengikuti jalan yang ditempuh para nabi.
038:055-070	azab allah terhadap orang-orang yang menentang, mendustakan, dan berpaling dari peringatan yang dibawa para nabi.
038:071-085	kisah adam as ketika baru diciptakan dan pembangkangan iblis terhadap perintah allah; dan permintaan iblis dan anak turunannya untuk menggoda adam dan anak turunannya hingga hari kiamat.
038:086-088	muhammad berdakwah tidak meminta upah, dan sebagian kebenaran al-quran akan terbukti setelah beberapa waktu kemudian.
039:001-004	beribadah kepada allah dengan penuh keikhlasan; alasan orang-orang musyrik menyembah sesuatu selain allah.
039:005-007	allah maha pencipta segala yang ada di alam semesta termasuk diri manusia; dan allah tidak membutuhkan iman, kekuasaannya tidak berkurang lantaran manusia semua kafir.
039:008-009	sikap orang-orang musyrik jika tertimpa musibah dan jika mendapat nikmat allah, dan tidaklah mereka itu beruntung sama sekali.
039:010-026	perbandingan orang-orang mukmin dan orang-orang kafir dalam hal beribadah, peringatan rasul, serta balasan bagi mereka.
039:027-031	allah membuat berbagai perumpamaan dalam al-quran untuk dijadikan pelajaran dan al-quran itu tiada kebengkokan isinya.
039:032-037	orang-orang kafir akan merasakan azab neraka dan orang-orang yang berbuat kebajikan akan mendapat pahala yang berlipat ganda.
039:038-040	perintah hanya kepada allah orang-orang mukmin bertawakal dan bekerja menurut kemampuannya atau keadaannya.
039:041-041	tiap-tiap orang akan memetik buah amalnya sendiri dan bertanggung jawab atas dirinya sendiri.
039:042-044	syafaat itu adalah semata-mata hak allah dan manusia tidak memiliki kewenangan.
039:045-048	salah satu sifat orang-orang yang tidak beriman terhadap kehidupan akhirat.
039:049-051	salah satu sifat buruk manusia jika ditimpa bahaya dan jika diberi nikmat.
039:052-052	allahlah yang menentukan kadar rezeki hamba-hambanya, ada yang dilapangkan ada pula yang disempitkan.
039:053-059	perintah untuk segera bertaubat sebelum datangnya azab allah yang menghinakan.
039:060-063	perbedaan keadaan orang yang bertakwa dengan orang yang mendustakan hari kiamat.
039:064-066	peringatan allah supaya manusia menjauhi kemusyrikan yang dapat menghapuskan amal.
039:067-075	beberapa peristiwa yang terjadi pada hari kiamat hingga manusia dimasukkan surga atau neraka.
040:001-006	tidak ada yang memperdebatkan isi al-quran kecuali orang-orang kafir, dan orang mukmin jangan teperdaya oleh perbuatan orang kafir.
040:007-009	para malaikat bertasbih memuji allah dan memintakan ampun dan mendoakan orang-orang mukmin.
040:010-012	keinginan orang-orang kafir hendak keluar dari neraka dan penyesalannya karena telah menyekutukan allah.
040:013-020	kewajiban menunaikan ibadah kepada allah dengan mengikhlaskan diri, meskipun orang-orang kafir tidak menyukai.
040:021-045	pelajaran yang dapat diambil dari kisah nabi musa as menyeru firaun, haman, dan qarun atau kaum nabi nuh, kaum ad, kaum tsamud, dan orang-orang yang datang sesudah mereka.
040:046-052	kepada firaun telah ditampakkan neraka sebelum datangnya kiamat, dan di dalam neraka mereka berbantah-bantahan untuk mengelak dari siksa.
040:053-055	allah telah memberikan petunjuk kepada musa dan mewariskan taurat kepada bani israil untuk dijadikan peringatan bagi orang-orang yang berpikir.
040:056-059	pengingkaran terhadap kekuasaan allah hanyalah karena kesombongan manusia semata dan kebanyakan manusia tiada beriman.
040:060-060	allah akan memperkenankan doa hambanya dan balasan bagi orang yang menyombongkan diri dari menyembah allah.
040:061-068	kekuasaan allah tercermin pada alam semesta agar manusia memahami dan tidak menyekutukannya dengan sesuatu pun.
040:069-077	siksaan neraka yang mengerikan yang mengerikan bagi orang-orang yang menentang ayat-ayat allah dan rasulnya.
040:078-078	kisah para rasul ada yang disebutkan dalam al-quran (secara panjang lebar atau secukupnya) dan ada pula yang tidak disebutkan.
040:079-081	berbagai manfaat diciptakannya binatang oleh allah untuk kepentingan manusia.
040:082-083	pelajaran yang dapat diambil dari peristiwa pada umat-umat terdahulu yang mendustakan rasul.
040:084-085	iman pada waktu azab telah datang tidak berguna lagi, dan saat itulah dibinasakan orang-orang kafir.
041:001-008	al-quran adalah kitab yang dijelaskan ayat-ayatnya; nabi adalah manusia biasa yang yang diberi wahyu oleh allah untuk mengajak kepada kebenaran.
041:009-012	allah menciptakan langit dan bumi serta segala yang ada di dalamnya dalam beberapa periode.
041:013-018	peringatan terhadap kaum kafir quraisy tentang peristiwa-peristiwa yang telah dialami oleh kaum ad dan kaum tsamud.
041:019-025	anggota tubuh manusia (pendengaran, penglihatan, kulit) akan menjadi saksi di akhirat tentang perbuatannya di dunia.
041:026-029	pembalasan allah terhadap orang-orang kafir di neraka dan permintaan orang-orang kafir untuk menghinakan manusia dan jin yang telah menyesatkannya.
041:030-032	pembalasan allah terhadap orang-orang beriman adalah surga yang di dalamnya akan diperoleh apa yang diinginkan dan yang diminta.
041:033-036	orang yang paling baik perkataannya di antara manusia adalah orang yang menyeru kepada allah.
041:037-039	tanda-tanda kekuasaan allah dapat disaksikan dari beberapa peristiwa alam yang sangat menakjubkan.
041:040-046	al-quran adalah kitab sebagai petunjuk dan penawar, tetapi banyak juga yang masih mengingkarinya dan membuat mereka bingung.
041:047-054	hanya allahlah yang mengetahui tentang datangnya hari kiamat dan sikap orang-orang musyrik terhadap malapetaka dan nikmat allah.
042:001-004	allah memberikan wahyu kepada nabi muhammad saw yang pokok-pokoknya sama dengan wahyu yang diberikan kepada rasul-rasul sebelumnya.
042:005-006	para malaikat bertasbih memuji allah dan memintakan ampun untuk orang-orang yang ada di bumi.
042:007-009	al-quran adalah peringatan untuk seluruh umat manusia, bukan hanya untuk kaum tertentu atau penduduk mekah saja.
042:010-012	perselisihan umat manusia dikembalikan penyelesaiannya kepada kitab allah; kepunyaan allahlah pembendaharaan langit dan bumi.
042:013-019	semua rasul diutus oleh allah untuk mengajak umat menyembah kepada allah yang maha esa tetapi banyak juga orang yang membantah.
042:020-029	allah memberikan balasan terhadap amal seseorang menurut niatnya.
042:030-037	musibah yang menimpa manusia disebabkan oleh perbuatan tangan manusia, dan allah memaafkan sebagian besar dosa hamba-hambanya.
042:038-038	kewajiban mengadakan musyawarah tentang permasalahan keduniaan.
042:039-043	bersabar dan memberi maaf adalah lebih baik daripada mengambil pembalasan, dan tiada dosa oleh orang yang membela diri setelah dianiaya.
042:044-050	orang-orang yang diberikan sesat oleh allah tidak akan menemukan pemimpin yang memberi petunjuk.
042:051-053	di antara beberapa cara wahyu diturunkan kepada rasul.
043:001-015	kaum musyrikin mengakui bahwa pencipta alam semesta adalah allah, walaupun mereka menyembah berhala.
043:016-025	keingkaran kaum musyrikin hanyalah karena berpegang teguh kepada tradisi lama nenek moyangnya, tanpa berpikir realistis.
043:026-030	padahal nabi ibrahim as sebagai nenek moyang manusia juga telah menentang tradisi lama yang menyesatkan dengan pengetahuan.
043:031-035	kekayaan dan perhiasan hanyalah kenikmatan duniawi, sedangkan kebahagiaan di akhirat hanya dapat dicapai dengan takwa.
043:036-042	orang yang berpaling dari pengajaran / peringatan disertai setan sebagai teman yang menyesatkan.
043:043-045	orang yang berpegang teguh kepada agama yang diwahyukan allah, maka mereka itu berada dalam jalan yang lurus.
043:046-056	kehancuran firaun hendaknya dijadikan pelajaran bahwa setiap kekuasaan yang menyimpang dari aturan allah akan hancur.
043:057-067	nabi isa as mengajak kaumnya untuk beriman kepada allah; orang yang berteman akrab boleh jadi saling bermusuhan di hari kiamat.
043:068-080	balasan kenikmatan yang dirasakan oleh penghuni surga dan balasan kesengsaraan yang akan dialami oleh para penduduk neraka.
043:081-089	bantahan al-quran tentang kepercayaan orang-orang musyrik bahwa allah mempunyai anak.
044:001-007	al-quran diturunkan pada malam yang diberkahi, diutusnya para rasul sebagai rahmat dari allah.
044:008-014	orang-orang musyrik masih meragukan kemahakuasaan allah; dan penyesalan mereka di akhirat nanti.
044:015-016	karena keingkaran kaum musyrikin tidak hilang dengan peringatan berupa bencana, maka allah mendatangkan azab yang besar.
044:017-037	kisah hancurnya kekuasaan firaun yang zalim dalam keadaan hina hendaklah dijadikan pelajaran bagi para penguasa, raja, dan presiden.
044:038-039	allah menciptakan langit dan bumi dan segala apa yang ada di antara keduanya dengan hak, bukan main-main.
044:040-042	pada hari keputusan (yaumul fashl) seorang sahabat karib tidak akan dapat memberi manfaat kepada yang lain, kecuali orang yang diberi rahmat.
044:043-050	siksaan yang mengerikan bagi para penduduk neraka karena perbuatan jahatnya tatkala di dunia.
044:051-059	balasan bagi orang-orang yang bertakwa adalah kenikmatan surga yang tiada taranya, di sana tidak akan merasakan siksaan dan tidak akan mati.
045:001-011	kebenaran wahyu atau ayat al-quran sesuai juga dengan tanda-tanda kebesaran allah yang terbentang di bumi; azab allah bagi yang mengingkari atau mendustakannya.
045:012-015	allah menundukkan apa yang di langit dan di bumi untuk manusia agar manusia bersyukur dan berbuat kebajikan; kembalinya perbuatan yang baik atau yang buruk kepada dirinya sendiri.
045:016-021	allah melebihkan bani israil dari bangsa-bangsa lain, dijadikan syariat bagi manusia agar ditaati dan diikuti tetapi mereka mengingkari kebenaran suatu urusan.
045:022-026	allah menciptakan langit dan bumi untuk cobaan bagi manusia yang nantinya akan diberi balasan; orang yang mengilahkan hawa nafsunya, lupa / melupakan terhadap hari kebangkitan.
045:027-037	pada hari manusia dibangkitkan untuk dihisab, mereka bertekuk lutut dan disuruh membaca catatan perbuatannya selama di dunia; kecelakaan yang besar bagi orang-orang yang mendustakan hari kebangkitan.
046:001-014	segala sesuatu diciptakan oleh allah dengan tujuan yang hak; orang-orang kafir senantiasa berpaling dan mendustakan dari apa-apa yang diperingatkan kepada mereka.
046:015-020	perintah allah kepada manusia untuk berbuat baik kepada ibu bapak; kecelakaan besar bagi orang yang durhaka kepada orang tua merupakan suatu ketetapan yang mesti datang.
046:021-028	kehancuran kaum ad setelah nabi hud as memperingatkan di ahqaf kepada mereka dan mereka mendustakannya; dan telah dihancurkan pula kota-kota sekitar mekah karena tidak beriman.
046:029-035	sekelompok jin mendengarkan al-quran yang sedang dibaca dan penyiaran atau dakwah jin kepada sesama golongan jin dengan berbagai petunjuk dan ancaman datangnya hari pembalasan yang mengerikan bagi orang kafir.
047:001-006	beberapa ketentuan peperangan dalam islam; sikap menghadapi orang-orang kafir dalam peperangan secara tegas; dan balasan bagi orang-orang yang syahid di jalan allah.
047:007-011	jika orang-orang mukmin menolong agama allah maka allah akan melindungi dan menolongnya untuk diberi kemenangan; dan orang-orang kafir pasti akan hancur.
047:012-019	akibat orang-orang atau umat yang mengingkari atau mendustakan para rasul dan balasan yang diberikan allah kepada orang-orang yang beriman.
047:020-031	ancaman allah terhadap orang-orang munafik setelah datangnya ayat-ayat allah yang dirasakannya berat untuk mengamalkannya, misalnya perintah perang, sehingga mereka tidak taat.
047:032-034	perintah allah kepada orang-orang yang beriman agar taat dan ancaman allah kepada orang-orang kafir atau yang murtad akan dihapuslah semua amal kebajikannya.
047:035-038	larangan bersikap lemah dan meminta damai dalam berperang menghadapi musuh (karena takut mati atau takut harta bendanya habis); jika berpaling; allah akan mengganti dengan kaum / generasi yang lebih taat.
048:001-007	suatu kemenangan besar bagi kaum muslimin dengan perdamaian hudaibiyah serta kabar gembira bagi nabi muhammad dan kaum muslimin dengan pertolongan allah dan pahala allah.
048:008-010	baiatur ridhwan atau janji setia kaum muslimin kepada rasulullah saw untuk memerangi kaum musyrikin yang telah menahan utsman, yang menggetarkan kaum musyrikin sehingga mereka mengajak damai dengan kaum muslimin dengan perjanjian <quote>shulhul hudaibiyah<quote>.
048:011-017	celaan terhadap orang-orang yang tidak ikut berperang karena takut mati, kehilangan harta dan keluarganya; orang-orang yang boleh tidak berperang karena uzur, misalnya buta, pincang, dan sakit.
048:018-026	allah meridai orang-orang yang mengadakan janji setia (baiatur ridhwan) dan menjanjikan kemenangan bagi kaum muslimin atas kaum musyrikin dan kaum kafir.
048:027-028	kebenaran mimpi nabi muhammad saw memasuki kota mekah akan terbukti; dan allah mengutus rasulnya dengan petunjuk dan agama yang benar agar dimenangkan atas segala agama.
048:029-029	sifat-sifat nabi muhammad saw dan para sahabat beliau telah disebutkan dalam kitab-kitab suci sebelumnya, taurat dan injil.
049:001-005	sikap mengambil hukum tidak mendahului allah dan rasulnya dan beberapa tata krama terhadap rasulullah saw.
049:006-008	cara menghadapi berita atau pengabaran yang dibawa oleh orang-orang fasik adalah dengan menelitinya terlebih dahulu.
049:009-010	cara menyelesaikan pertengkaran yang timbul antara kaum muslimin adalah memerangi golongan yang berbuat aniaya sehingga kembali kepada perintah allah, selanjutnya didamaikan dengan adil.
049:011-012	larangan mengolok-olok, mencela sesama kaum muslimin, banyak berprasangka, memanggil dengan panggilan yang buruk, mencari-cari kesalahan, menggunjing, dan lain-lain.
049:013-013	allah menciptakan manusia dari seorang laki-laki dan perempuan dan dijadikannya berbangsa-bangsa dan bersuku-suku agar saling mengenal, dan yang paling mulia adalah orang yang bertakwa.
049:014-018	tingkatan mukmin lebih tinggi dari sekedar muslim, dan ciri-ciri orang beriman dengan sesungguhnya yang akan mendapat nikmat allah.
050:001-005	pengingkaran kaum musyrikin terhadap kenabian muhammad saw dan datangnya hari kebangkitan; karena kedustaan mereka maka mereka berada dalam keadaan kacau-balau.
050:006-011	peristiwa-peristiwa dan kejadian-kejadian pada alam ini membuktikan kebenaran datangnya hari kebangkitan; kebangkitan itu seperti dihidupkannya tanah kering dengan hujan.
050:012-015	pelajaran yang dapat diambil dari umat-umat dahulu yang menentang para nabi, antar lain kaum nuh, penduduk rass, kaum tsamud, kaum ad, kaum / pengikut firaun, kaum lut, penduduk aikah, dan kaum tubba.
050:016-019	allah mengetahui segala apa yang ada dalam hati manusia; segala amal perbuatan dan ucapan manusia akan dicatat oleh malaikat yang selalu mengawasi.
050:020-029	saat datangnya kebangkitan tiap-tiap diri didampingi oleh malaikat penggiring dan malaikat penyaksi; pertengkaran orang-orang kafir di neraka.
050:030-035	pada hari pembalasan tiap-tiap orang akan memperoleh balasan sesuai dengan amalnya sendiri; kejahatan dibalas dengan neraka dan ketakwaan dibalas dengan surga.
050:036-045	ancaman allah terhadap orang-orang yang mengingkari hari kebangkitan; dan perintah untuk bertasbih memuji allah sebelum matahari terbit dan terbenam, di malam hari, dan setiap selesai salat.
051:001-009	pernyataan penegasan allah terhadap kepastian datangnya hari pembalasan; pendapat manusia tentang hari pembalasan memang berbeda-beda.
051:010-014	kutukan dan azab yang pedih bagi mereka yang mendustakan jari pembalasan itu dengan siksa api neraka.
051:015-023	sedangkan orang-orang yang bertakwa akan mendapat balasan surga penuh kenikmatan lantaran amal dan ibadahnya selama di dunia.
051:024-037	kisah nabi ibrahim as kedatangan tamu malaikat yang membawa berita gembira buat keluarganya dan diutus untuk kaum lut yang berbuat dosa.
051:038-040	kisah musa dan ditenggelamkannya firaun beserta bala tentara yang mengejar musa dan pengikutnya.
051:041-042	kisah kaum ad yang mendustakan rasul dan dibinasakannya menjadi seperti serbuk dengan angin.
051:043-045	kisah kaum tsamud yang mendustakan rasul dan dibinasakannya dengan sambaran petir sedang mereka melihatnya.
051:046-046	kisah kaum nuh as yang mendustakan rasul dan dibinasakannya dengan banjir besar.
051:047-051	allah menciptakan lagi dan bumi dan menciptakan segala sesuatu berpasang-pasangan agar manusia mengingat kebesaran allah.
051:052-060	tidak ada seorang rasul pun yang tidak didustakan oleh kaumnya; diciptakan jin dan manusia agar beribadah kepada allah, dan allah tidak memerlukan pemberian manusia.
052:001-016	sumpah-sumpah allah yang mempertegas datangnya azab kepada orang-orang yang mendustakan rasul.
052:017-028	balasan bagi orang-orang yang bertakwa dan beriman serta anak cucunya yang mengikutinya dalam keadaan beriman.
052:029-033	tuduhan-tuduhan dan ocehan-ocehan kaum musyrikin dan kafirin kepada nabi sebagai dukun ahli tenun, orang gila, atau penyair.
052:034-047	bantahan-bantahan dan tantangan-tantangan allah terhadap orang yang mendustakan nabi dan hari kebangkitan.
052:048-049	perintah untuk bersabar, bertasbih memuji allah, ketika bangun berdiri, beberapa saat di malam hari, dan di waktu fajar menjelang terbenamnya bintang-bintang.
053:001-011	allah bersumpah bahwa apa yang dikatakan muhammad (ayat-ayat al-quran) adalah wahyu bukan ucapan yang menurut hawa nafsunya sendiri.
053:012-018	muhammad saw pernah melihat jibril dalam rupa aslinya di sidratul muntaha, di dekatnya ada jannatul mawa (surga tempat tinggal).
053:019-025	orang-orang musyrik menganggap patung-patung lata, uzza, dan manata yang disembahnya sebagai anak perempuan allah, sedang mereka tidak senang dengan anak perempuan.
053:026-030	celaan-celaan allah terhadap kaum musyrikin yang mengharapkan syafaat (pertolongan) dari malaikat yang juga dianggapnya sebagai anak perempuan allah.
053:031-032	allah akan memberikan balasan yang lebih baik kepada orang-orang yang menjauhi perbuatan dosa-dosa besar dan perbuatan keji, selain perbuatan dosa kecil.
053:033-040	dalam shuhuf musa dan shuhuf ibrahim telah disebutkan tentang seseorang yang berdosa tidak akan memikul dosa orang lain, dan seorang manusia akan memperoleh apa-apa yang dikerjakannya.
053:041-044	allah akan memberi balasan dengan sempurna dan allah maha kuasa atas segala sesuatu, baik yang sudah diciptakan maupun yang akan terjadi.
053:045-054	allah akan membinasakan beberapa penduduk negeri yang telah mendustakan para rasul yang diutusnya dengan azab yang besar.
053:055-062	nabi muhammad adalah seorang pemberi peringatan kepada manusia tentang datangnya kiamat yang dirahasiakan allah, seperti para rasul sebelumnya telah menyampaikan.
054:001-008	musuh-musuh nabi muhammad akan mengalami kehancuran seperti halnya musuh-musuh para rasul sebelumnya.
054:009-017	kehancuran kaum nuh as dengan tercurahnya air dari langit dan memancarnya mata air dari bumi yang mengakibatkan banjir besar.
054:018-022	kehancuran kaum ad dengan terembusnya angin yang sangat kencang yang mengakibatkan tergelimpangnya manusia seperti pokok kurma yang tumbang.
054:023-032	kehancuran kaum tsamud dengan menggunturnya suatu suara yang sangat keras yang mengakibatkan mereka seperti rumput-rumput kering.
054:033-040	kehancuran kaum lut as dengan terembusnya angin yang membawa batu-batu, sehingga seperti hujan batu.
054:041-042	kehancuran firaun dan pengikutnya yang mendustakan mukjizat-mukjizat yang dibawa oleh nabi musa as sehingga mereka diazab dengan ditenggelamkan dalam laut.
054:043-046	peringatan kepada kaum musyrikin bahwa mereka itu tidak lebih kuat daripada kaum-kaum sebelumnya yang telah dihancurkan oleh allah karena mereka mendustakan kebenaran.
054:047-055	balasan terhadap orang-orang yang berdosa di dunia dan siksaan neraka di akhiran kelak; sedang orang-orang yang bertakwa balasannya adalah surga.
055:001-009	allah mengajarkan al-quran dan mengajarkan pandai berbicara kepada manusia agar tidak melampaui batas dalam neraca atau timbangan.
055:010-030	banyak sekali nikmat yang dilukiskan dan diberikan allah untuk dirasakan oleh manusia selama hidup di dunia ini.
055:031-045	ancaman allah berupa siksaan neraka terhadap manusia dan jin yang tidak pandai bersyukur atas nikmat allah dan mendustakannya.
055:046-078	pahala dan balasan bagi orang-orang yang bertakwa adalah surga yang di dalamnya penuh dengan berbagai kenikmatan dari allah yang mempunyai kebesaran dan karunia.
056:001-007	pada hari kiamat terjadi berbagai peristiwa yang dahsyat dan manusia terbagi menjadi tiga golongan.
056:008-010	tiga golongan manusia itu adalah golongan kanan, golongan kiri, dan golongan orang-orang yang paling dahulu beriman.
056:011-026	balasan bagi orang-orang yang paling dahulu beriman adalah mereka berada dalam surga yang penuh kenikmatan.
056:027-040	balasan bagi golongan kanan adalah surga yang membuat mereka merasa selamat dan bahagia dengan apa-apa yang ada di dalamnya.
